,text,category
0,A mí también la ropa me habla y me dice: ¡COOOMPRAME! adposition pronoun adverb determiner noun pronoun verb conjunction pronoun verb punctuation punctuation noun punctuation,0
1,"Un amigo viene a tiempo, los demás, cuando tienen tiempo. determiner noun verb adposition noun punctuation determiner pronoun punctuation conjunction verb noun punctuation",0
2,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras. determiner noun verb number noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation verb punctuation punctuation noun punctuation punctuation noun adposition noun punctuation,1
3,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si"" noun punctuation pronoun verb determiner noun punctuation pronoun verb punctuation conjunction determiner adjective verb conjunction verb conjunction punctuation conjunction punctuation",0
4,"Y a ti ¿qué te parece lo del sexo por teléfono? -Una vez lo intenté, pero los agujeros del micrófono eran demasiado pequeños. by @pipe0405 conjunction adposition pronoun punctuation pronoun pronoun verb determiner adposition determiner noun adposition noun punctuation punctuation determiner noun pronoun verb punctuation conjunction determiner noun adposition determiner noun verb adverb adjective punctuation noun punctuation number",1
5,La capacidad que tengo para molestar cuando me aburro es impresionante determiner noun pronoun verb adposition verb conjunction pronoun verb verb adjective,0
6,"Aunque ustedes no lo crean, se necesita ser muy inteligente para escribir tanta pendejada. O_o conjunction pronoun adverb pronoun verb punctuation pronoun verb verb adverb adjective adposition verb determiner noun punctuation noun",0
7,Típico : Leer el mismo mensajes miles de veces y aun no saber que contestar. noun punctuation verb determiner adjective noun noun adposition noun conjunction adverb adverb verb pronoun verb punctuation,0
8,"—¿Eres un Pokémon? —No, ¿por qué? —Pokéstasmuybuena —¿Eres soltero y virgen, verdad? —Y maestro Pokémon también. punctuation punctuation noun punctuation punctuation noun punctuation punctuation adposition pronoun punctuation punctuation noun punctuation punctuation verb adjective conjunction adjective punctuation noun punctuation punctuation noun noun noun adverb punctuation",1
9,"Si el físico no importa, ¿Por que tomaron enserio a Newton? conjunction determiner noun adverb verb punctuation punctuation adposition pronoun verb verb adposition noun punctuation",1
10,—¿No te cansas de dormir? —Ni que durmiera corriendo. punctuation punctuation adverb pronoun verb adposition verb punctuation punctuation noun verb verb punctuation,1
